,Mins,Rating,Market Value,Fee,Class
0,2710,8.48,135.0,0.0,1
1,2830,7.57,45.0,0.0,1
2,2262,7.51,22.0,0.0,1
3,2964,7.38,36.0,0.0,1
4,3204,7.29,117.0,0.0,0
5,1673,7.25,90.0,0.0,1
6,2743,7.24,45.0,0.0,1
7,2821,7.23,36.0,0.0,0
8,2009,7.2,13.0,0.0,0
9,3150,7.18,31.0,0.0,1
10,2925,7.17,81.0,0.0,1
11,2730,7.16,36.0,0.0,0
12,2316,7.15,54.0,0.0,1
13,1772,7.13,63.0,0.0,1
14,2227,7.09,54.0,0.0,1
15,2651,7.09,2.25,0.0,1
16,2588,7.09,63.0,0.0,1
17,2643,7.06,31.0,0.0,1
18,2401,7.06,45.0,0.0,0
19,1815,7.06,1.35,1.26,1
20,2106,7.04,45.0,0.0,1
21,1541,7.05,360.0,1.8,1
22,2618,7.03,18.0,0.0,1
23,1667,7.04,8.1,9.0,1
24,2988,7.01,45.0,0.0,1
25,2720,7.0,45.0,0.0,1
26,3040,7.0,45.0,0.0,1
27,1767,6.99,18.0,0.0,1
28,2508,6.98,18.0,0.0,0
29,2794,7.01,540.0,540.0,1
30,2614,6.98,22.0,0.0,1
31,2658,7.0,4.5,0.0,1
32,2930,6.97,19.0,0.0,1
33,2354,6.99,3.15,0.0,1
34,2964,6.95,36.0,0.0,0
35,2806,6.95,22.0,0.0,0
36,2164,6.93,19.0,0.0,1
37,2739,6.97,1.8,1.8,1
38,2625,6.93,18.0,0.0,1
39,1937,6.93,22.0,0.0,0
40,2023,6.93,81.0,0.0,1
41,1244,6.95,27.0,19.8,1
42,2821,6.94,2.7,0.0,0
43,2476,6.91,22.0,0.0,1
44,2089,6.91,45.0,0.0,1
45,3116,6.9,27.0,0.0,1
46,3330,6.9,90.0,0.0,1
47,3082,6.93,900.0,0.0,0
48,3082,6.93,900.0,0.0,0
49,3082,6.93,900.0,9.0,0
50,1794,6.88,54.0,0.0,1
51,3082,6.93,900.0,9.0,0
52,3150,6.87,18.0,0.0,1
53,2106,6.91,5.4,5.4,1
54,1771,6.91,16.2,9.9,1
55,2496,6.9,450.0,0.0,1
56,2515,6.9,720.0,0.0,1
57,1977,6.83,16.0,0.0,0
58,1474,6.89,36.0,36.0,1
59,3160,6.83,54.0,0.0,1
60,2978,6.89,720.0,900.0,1
61,1929,6.89,31.5,16.2,1
62,2182,6.89,3.15,2.25,1
63,2552,6.81,27.0,0.0,1
64,1841,6.81,22.0,0.0,1
65,2061,6.88,9.0,10.8,1
66,2061,6.88,9.0,6.3,1
67,2437,6.88,1.8,0.0,1
68,2533,6.88,1.8,1.35,1
69,1935,6.88,22.5,32.31,1
70,1779,6.78,54.0,0.0,1
71,2205,6.87,6.75,5.4,1
72,1829,6.87,58.5,63.0,1
73,2466,6.77,45.0,0.0,1
74,1248,6.76,40.0,0.0,1
75,1403,6.83,2.25,4.5,1
76,1822,6.75,22.0,0.0,1
77,1868,6.83,6.75,7.2,1
78,1755,6.74,22.0,0.0,1
79,2374,6.74,27.0,0.0,1
80,2149,6.83,16.2,16.2,1
81,2628,6.8,9.0,8.1,1
82,2387,6.79,22.5,18.0,1
83,1758,6.79,1.35,0.0,1
84,1860,6.71,27.0,0.0,0
85,2317,6.79,18.0,18.0,1
86,3211,6.78,4.5,9.0,1
87,2718,6.78,9.9,7.2,1
88,2343,6.77,1.62,1.35,1
89,3150,6.69,81.0,0.0,1
90,1602,6.68,36.0,0.0,1
91,2687,6.76,2.7,1.94,1
92,3330,6.76,3.6,2.7,1
93,1922,6.68,31.0,0.0,1
94,1188,6.66,54.0,0.0,1
95,2356,6.74,13.5,5.4,1
96,1701,6.64,18.0,0.0,1
97,1502,6.63,22.0,0.0,1
98,2430,6.71,58.5,31.5,1
99,1743,6.71,3.6,4.05,1
100,2766,6.7,7.2,4.05,1
101,2430,6.57,9.0,0.0,1
102,2327,6.68,1.8,0.0,0
103,2327,6.68,1.8,0.0,0
104,745,6.55,16.0,0.0,1
105,2482,6.67,3.6,0.0,1
106,2493,6.51,22.0,0.0,1
107,2155,6.66,270.0,0.0,1
108,2473,6.66,6.75,0.0,1
109,1574,6.65,9.0,13.5,1
110,2970,6.64,4.5,0.0,0
111,1815,6.63,1.8,1.35,1
112,2214,6.63,900.0,0.0,1
113,1637,6.6,2.7,2.7,1
114,1513,6.3,16.0,0.0,2
115,1590,6.6,5.4,9.0,1
116,1571,6.59,21.6,18.0,0
117,2926,7.81,135.0,0.0,0
118,2777,7.61,126.0,0.0,1
119,2356,6.58,4.5,0.0,0
120,3262,7.57,135.0,0.0,1
121,2356,6.58,4.5,0.0,0
122,2480,7.53,58.0,0.0,1
123,3385,7.44,90.0,0.0,1
124,3086,7.43,108.0,0.0,1
125,2427,7.38,135.0,0.0,1
126,2467,7.36,72.0,0.0,1
127,1065,6.57,2.25,3.6,1
128,3012,7.31,90.0,0.0,1
129,3135,7.27,36.0,0.0,0
130,2853,7.26,90.0,0.0,1
131,1867,7.26,90.0,0.0,1
132,3299,7.21,31.0,0.0,1
133,3041,7.21,49.0,0.0,1
134,1612,6.55,2.7,1.17,1
135,2620,7.2,72.0,0.0,1
136,2761,7.18,28.0,0.0,1
137,2507,7.17,63.0,0.0,1
138,3134,7.16,31.0,0.0,1
139,2826,7.14,27.0,0.0,0
140,2970,7.13,27.0,0.0,1
141,1296,6.51,900.0,675.0,1
142,3219,7.12,54.0,0.0,1
143,1890,6.5,900.0,810.0,1
144,2764,6.5,4.5,900.0,1
145,1535,7.11,31.0,0.0,1
146,1441,6.49,27.0,27.9,2
147,2278,7.1,31.0,0.0,0
148,2733,7.1,63.0,0.0,1
149,1747,6.48,6.3,5.4,2
150,2136,7.1,45.0,0.0,1
151,3173,7.08,27.0,0.0,1
152,2772,7.08,90.0,0.0,1
153,964,6.48,2.7,4.5,2
154,3125,7.07,31.0,0.0,1
155,2109,7.06,31.0,0.0,1
156,3057,7.05,67.0,0.0,1
157,3240,7.04,31.0,0.0,1
