,Player,Mins,Rating,Market Value,Fee,Class
0,Lionel Messi,2710,8.48,135.0,0.0,1
1,Luis Suárez,2830,7.57,45.0,0.0,1
2,Iago Aspas,2262,7.51,22.0,0.0,1
3,Karim Benzema,2964,7.38,36.0,0.0,1
4,Antoine Griezmann,3204,7.29,117.0,0.0,0
5,Ousmane Dembélé,1673,7.25,90.0,0.0,1
6,Rodrigo,2743,7.24,45.0,0.0,1
7,Wissam Ben Yedder,2821,7.23,36.0,0.0,0
8,Guillermo Maripán,2009,7.2,13.0,0.0,0
9,Gerard Piqué,3150,7.18,31.0,0.0,1
10,Saúl Ñíguez,2925,7.17,81.0,0.0,1
11,Pablo Sarabia,2730,7.16,36.0,0.0,0
12,Casemiro,2316,7.15,54.0,0.0,1
13,José Giménez,1772,7.13,63.0,0.0,1
14,Toni Kroos,2227,7.09,54.0,0.0,1
15,Santi Cazorla,2651,7.09,2.25,0.0,1
16,Koke,2588,7.09,63.0,0.0,1
17,Ivan Rakitic,2643,7.06,31.0,0.0,1
18,Giovani Lo Celso,2401,7.06,45.0,0.0,0
19,Rubén Rochina,1815,7.06,1.35,1.26,1
20,Daniel Carvajal,2106,7.04,45.0,0.0,1
21,Enric Gallego,1541,7.05,360.0,1.8,1
22,Luka Modric,2618,7.03,18.0,0.0,1
23,Vicente Iborra,1667,7.04,8.1,9.0,1
24,Jordi Alba,2988,7.01,45.0,0.0,1
25,Sergio Busquets,2720,7.0,45.0,0.0,1
26,Iñaki Williams,3040,7.0,45.0,0.0,1
27,Francis Coquelin,1767,6.99,18.0,0.0,1
28,Diego Godín,2508,6.98,18.0,0.0,0
29,Leandro Cabrera,2794,7.01,540.0,540.0,1
30,Yeray Álvarez,2614,6.98,22.0,0.0,1
31,Sergio Canales,2658,7.0,4.5,0.0,1
32,Marc Bartra,2930,6.97,19.0,0.0,1
33,Brais Méndez,2354,6.99,3.15,0.0,1
34,Maxi Gómez,2964,6.95,36.0,0.0,0
35,Mario Hermoso,2806,6.95,22.0,0.0,0
36,André Silva,2164,6.93,19.0,0.0,1
37,Fabián Orellana,2739,6.97,1.8,1.8,1
38,Gabriel Paulista,2625,6.93,18.0,0.0,1
39,Júnior Firpo,1937,6.93,22.0,0.0,0
40,Philippe Coutinho,2023,6.93,81.0,0.0,1
41,Geoffrey Kondogbia,1244,6.95,27.0,19.8,1
42,Raúl de Tomás,2821,6.94,2.7,0.0,0
43,Sergio Ramos,2476,6.91,22.0,0.0,1
44,Sergi Roberto,2089,6.91,45.0,0.0,1
45,Marc Roca,3116,6.9,27.0,0.0,1
46,Jan Oblak,3330,6.9,90.0,0.0,1
47,Borja Iglesias,3082,6.93,900.0,0.0,0
48,Borja Iglesias,3082,6.93,900.0,0.0,0
49,Borja Iglesias,3082,6.93,900.0,9.0,0
50,Gareth Bale,1794,6.88,54.0,0.0,1
51,Borja Iglesias,3082,6.93,900.0,9.0,0
52,Nacho,3150,6.87,18.0,0.0,1
53,Youssef En-Nesyri,2106,6.91,5.4,5.4,1
54,Santiago Arias,1771,6.91,16.2,9.9,1
55,Jorge Miramón,2496,6.9,450.0,0.0,1
56,Óscar Rodríguez,2515,6.9,720.0,0.0,1
57,Theo Hernández,1977,6.83,16.0,0.0,0
58,Gonçalo Guedes,1474,6.89,36.0,36.0,1
59,Mikel Oyarzabal,3160,6.83,54.0,0.0,1
60,Rubén Alcaraz,2978,6.89,720.0,900.0,1
61,Arturo Vidal,1929,6.89,31.5,16.2,1
62,Vitorino Antunes,2182,6.89,3.15,2.25,1
63,Igor Zubeldia,2552,6.81,27.0,0.0,1
64,Marcelo,1841,6.81,22.0,0.0,1
65,Mikel Merino,2061,6.88,9.0,10.8,1
66,Mikel Merino,2061,6.88,9.0,6.3,1
67,Jaime Mata,2437,6.88,1.8,0.0,1
68,Ximo Navarro,2533,6.88,1.8,1.35,1
69,Clément Lenglet,1935,6.88,22.5,32.31,1
70,Marco Asensio,1779,6.78,54.0,0.0,1
71,Okay Yokuslu,2205,6.87,6.75,5.4,1
72,Thomas Lemar,1829,6.87,58.5,63.0,1
73,Carlos Soler,2466,6.77,45.0,0.0,1
74,Dani Ceballos,1248,6.76,40.0,0.0,1
75,Marc Muniesa,1403,6.83,2.25,4.5,1
76,Asier Illarramendi,1822,6.75,22.0,0.0,1
77,Cristiano Piccini,1868,6.83,6.75,7.2,1
78,Diego Llorente,1755,6.74,22.0,0.0,1
79,Willian José,2374,6.74,27.0,0.0,1
80,Karl Toko Ekambi,2149,6.83,16.2,16.2,1
81,Ramiro Funes Mori,2628,6.8,9.0,8.1,1
82,William Carvalho,2387,6.79,22.5,18.0,1
83,David Juncà,1758,6.79,1.35,0.0,1
84,Santi Mina,1860,6.71,27.0,0.0,0
85,Gerard Moreno,2317,6.79,18.0,18.0,1
86,Nemanja Maksimovic,3211,6.78,4.5,9.0,1
87,Sergi Darder,2718,6.78,9.9,7.2,1
88,Tomás Pina,2343,6.77,1.62,1.35,1
89,Marc-André ter Stegen,3150,6.69,81.0,0.0,1
90,Nélson Semedo,1602,6.68,36.0,0.0,1
91,Mauro Arambarri,2687,6.76,2.7,1.94,1
92,David Soria,3330,6.76,3.6,2.7,1
93,Ángel Correa,1922,6.68,31.0,0.0,1
94,Isco,1188,6.66,54.0,0.0,1
95,Daniel Wass,2356,6.74,13.5,5.4,1
96,Nacho,1701,6.64,18.0,0.0,1
97,Lucas Vázquez,1502,6.63,22.0,0.0,1
98,Thibaut Courtois,2430,6.71,58.5,31.5,1
99,Sidnei,1743,6.71,3.6,4.05,1
100,Sergi Gómez,2766,6.7,7.2,4.05,1
101,Gerónimo Rulli,2430,6.57,9.0,0.0,1
